qid,query,doc_id,relevance
1,political corruption scandal,1369,1
1,political corruption scandal,1051,1
1,political corruption scandal,1054,1
1,political corruption scandal,2513,1
1,political corruption scandal,1806,1
1,political corruption scandal,1266,1
1,political corruption scandal,969,1
1,political corruption scandal,1998,0
1,political corruption scandal,1354,0
1,political corruption scandal,2616,0

2,economic inflation in pakistan,656,1
2,economic inflation in pakistan,287,1
2,economic inflation in pakistan,169,1
2,economic inflation in pakistan,81,1
2,economic inflation in pakistan,453,1
2,economic inflation in pakistan,2521,1
2,economic inflation in pakistan,359,1
2,economic inflation in pakistan,2575,1
2,economic inflation in pakistan,2432,1
2,economic inflation in pakistan,556,1

3,terrorist attack on security forces,2297,1
3,terrorist attack on security forces,1553,1
3,terrorist attack on security forces,2282,1
3,terrorist attack on security forces,1927,1
3,terrorist attack on security forces,2139,0
3,terrorist attack on security forces,417,1
3,terrorist attack on security forces,1362,0
3,terrorist attack on security forces,1765,0
3,terrorist attack on security forces,1372,0
3,terrorist attack on security forces,1404,0

4,cricket world cup match,1312,1
4,cricket world cup match,1696,1
4,cricket world cup match,1347,1
4,cricket world cup match,1333,1
4,cricket world cup match,1353,1
4,cricket world cup match,1329,1
4,cricket world cup match,1865,0
4,cricket world cup match,1434,1
4,cricket world cup match,2369,0
4,cricket world cup match,1652,1

5,education policy reforms,472,0
5,education policy reforms,459,0
5,education policy reforms,2463,0
5,education policy reforms,961,0
5,education policy reforms,2605,0
5,education policy reforms,736,0
5,education policy reforms,598,0
5,education policy reforms,596,0
5,education policy reforms,737,0
5,education policy reforms,754,0

6,floods natural disaster pakistan,737,1
6,floods natural disaster pakistan,948,0
6,floods natural disaster pakistan,2543,0
6,floods natural disaster pakistan,1308,0
6,floods natural disaster pakistan,169,0
6,floods natural disaster pakistan,348,0
6,floods natural disaster pakistan,325,0
6,floods natural disaster pakistan,43,0
6,floods natural disaster pakistan,91,0
6,floods natural disaster pakistan,2108,0

7,stock market crash economy,204,0
7,stock market crash economy,424,0
7,stock market crash economy,307,1
7,stock market crash economy,224,1
7,stock market crash economy,622,0
7,stock market crash economy,805,1
7,stock market crash economy,260,1
7,stock market crash economy,2580,1
7,stock market crash economy,2612,1
7,stock market crash economy,722,1

8,prime minister foreign visit,115,1
8,prime minister foreign visit,2437,1
8,prime minister foreign visit,2479,1
8,prime minister foreign visit,2480,1
8,prime minister foreign visit,2603,0
8,prime minister foreign visit,2590,1
8,prime minister foreign visit,1000,1
8,prime minister foreign visit,475,0
8,prime minister foreign visit,1362,0
8,prime minister foreign visit,2655,1

9,oil prices global market,41,1
9,oil prices global market,388,1
9,oil prices global market,520,1
9,oil prices global market,12,1
